ID,JM157,JM156,JM155,JM15445,JM154,JM152,JM151,JM15026,JM15025,JM149,JM146,JM145,JM14452,JM14448,JM14417,JM14415,JM1420,JM134,JM11445,JM108,JM100,J7727,J5030,J3810,J3716,J20265,J17410,J17406,J17403,J17401,J17400,J16543,J16535,J16458,J16158,J15888,J15870,J13244,J11443,J11098,J10471,G41,G34,G27,G23,G13,EA2,CM967,CM966,CM952,CM933,CM862,CM861,CM860,CM675,CM674,CM6565,CM6540,CM6539,CM6523,CM3877,CM3795,CM3793,CM3792,JM1600,JM153,JM14447,J17407,J13235,CM3663,CM3662,CM3661,CM3660,CM3652,CM3651,CM3644,CM3643,CM3642,CM3543,CM3542,CM2991,CM2988,CM2980,CM2822,CM2794,CM2748,CM21,CM16495,CM15246,CM12786,CM12785,CM11764,CM10563,CM10562,CM10561,CG1,CDT8,BSW14,CM16483,JM188,CM3713,JM205,CM6541,JM2205,J17402,JM91,M10967,M29961,MRG4,JM213
X LM9 Medial point of the most posterior side of the incisive foramina,5.740356064,6.146806717,7.451274872,15.32783966,-5.629269409,-4.535468292,-3.910645294,16.59983063,16.36118317,7.333033752,15.77582092,-3.808091736,17.37871094,18.06724548,6.03482666,5.260266876,5.623404312,5.540861511,-3.407687378,6.576565552,-3.915578079,15.7353775,15.46253204,17.82554474,16.1505722,6.725708008,-2.985537338,14.73097382,5.909087372,6.356936646,15.95838928,5.151913071,6.702764893,-3.908835602,14.34927063,4.582692719,4.87338829,5.258886719,-3.030364227,6.554370117,-6.6329216,15.06098785,15.33440399,16.12257233,14.9968811,14.77276764,14.01031952,-4.437639236,-4.446755981,9.607247162,-11.42988434,-13.96150513,-5.938845825,-4.561505508,-4.44510994,-3.613791656,-10.14123001,-4.487528229,-12.6668869,9.027721405,-9.546028137,-5.168014526,11.14984207,-12.71166458,-3.444416809,4.870477295,16.26351776,4.287134552,-1.295940685,6.629322052,-11.67303391,-6.023061752,10.56772232,-14.03631744,-11.75812683,-4.556630325,-2.102620697,-5.362416458,-13.96233826,-4.927862167,-4.172320938,-4.710926819,-4.426182175,-3.580198669,6.972705841,9.473403168,-4.559620667,-5.591043854,12.60391083,7.68988266,-9.027635956,-12.77168732,-5.789039993,-4.695921326,-6.518587494,16.47239532,15.9374115,15.62339172,5.05911026,-10.551651,-4.596831131,5.183807373,-13.37711792,15.21855927,14.54082794,6.914787292,-12.24468918,-3.868084335,16.38704224,5.319416046
Y LM9 Medial point of the most posterior side of the incisive foramina,-1.704626656,-2.187410545,-0.651538992,-4.006530762,-3.635909271,-6.152401733,-4.625333405,-4.648813629,-3.873438644,-1.709026337,-5.040755844,-3.836623764,-4.442354202,-4.85714035,-0.171267653,-1.121680546,-1.558339119,-1.807523155,-4.985621262,-1.671590042,-4.469650269,-5.411800766,-5.002249908,-4.447790527,-4.354538345,-0.98686409,-5.016047668,-5.678881836,-1.736632347,-1.794497108,-3.83627243,-1.749183846,-1.171199322,-6.028156662,-5.174214172,-1.27907114,-1.694302559,-1.257258415,-5.420858383,-1.875778961,-8.046363068,-4.996656418,-4.213524628,-3.872220993,-4.379463196,-4.576225281,-4.214193344,-3.475816345,-2.106229782,-4.95619278,-6.248279572,-5.657807541,-2.941114616,-1.617664909,-2.430282402,-3.23326149,-5.726275635,-2.55836525,-5.78998909,-6.392848587,-7.15787735,-4.394925308,-10.08992157,-5.148913956,-5.465988541,-1.857237816,-4.706259537,-14.82941284,-13.69358521,-5.176340103,-6.719470215,-2.677503204,-7.303902435,-5.736311722,-5.853183365,-2.711207771,-3.300634003,-3.696625137,-8.458200073,-2.850490379,-2.353214836,-2.891047478,-3.517606735,-3.200188065,-5.654333115,-5.774528885,-1.663856888,-1.23528595,-15.19850006,-6.698355865,-7.887407684,-5.962876892,-1.834959602,-1.994824219,-1.572789383,-4.105969238,-5.129179382,-5.677183914,-5.413409424,-10.61379089,-3.701052856,-0.850053406,-6.196208191,-3.736735916,-4.937950516,-1.734117699,-16.60884399,-14.30050354,-4.875290298,-1.057983494
Z LM9 Medial point of the most posterior side of the incisive foramina,-25.43053436,-24.11849518,-26.80368958,-20.55482483,-21.50944061,-24.3428772,-20.47017212,-19.52929077,-20.05674744,-25.62013855,-19.17746277,-21.32320251,-20.04973907,-20.06193848,-27.44842834,-26.04480896,-24.8677063,-25.33398438,-19.15514832,-25.22233124,-20.99703522,-18.76843872,-20.6896698,-19.68875732,-19.9273941,-26.90317688,-19.78878326,-19.09899597,-25.27921753,-24.27558899,-21.29358978,-25.14588623,-25.99975891,-23.98866119,-19.17407532,-25.79683228,-25.77886963,-25.16531372,-18.18979034,-24.9082489,-21.83038788,-19.71668091,-20.8171051,-20.39392395,-20.53587494,-20.63464203,-21.26446228,-20.34098663,-21.66156921,-10.47205353,-10.01628799,-10.10758286,-19.76441193,-21.32787018,-21.28507996,-20.53134766,-10.85236511,-20.64011688,-11.49970016,-10.61884003,-9.54812851,-24.06035004,-8.760097504,-10.99164963,-19.24236145,-25.62635803,-21.03491974,-23.11782532,-24.72602539,-11.33425751,-9.729734802,-19.97124481,-9.462473297,-10.86832428,-10.56898651,-20.20775909,-19.80922241,-21.26389771,-9.71856308,-21.52995453,-22.64598694,-21.39192352,-20.55622406,-21.66742249,-10.06602478,-9.757946777,-20.72122955,-21.06175842,-6.533436584,-11.94371185,-10.5247673,-9.799478149,-22.17845764,-21.77187042,-21.82308807,-20.75521393,-19.44718933,-19.2954071,-10.73730087,-11.42210236,-20.9628952,-25.80726929,-9.722226715,-21.20209351,-19.34257355,-24.78699188,3.574074173,1.628930473,-20.01741486,-26.20050964
"X LM82 L Incisive foramen, anterior",5.672562027,6.401644897,7.93628006,19.17776337,-5.209730911,-4.287896729,-3.746517563,19.88437042,19.36786652,7.536457825,20.19884949,-3.481394958,21.21596985,22.31396484,6.223950958,5.174864578,5.396412659,5.310028076,-3.010006714,6.630233002,-3.590584564,18.52910156,18.72119141,20.74463501,19.42431488,6.999247742,-2.782119942,19.15180969,6.233515549,6.692566681,20.75497437,4.981092453,6.3853405,-3.360373688,18.6789032,4.561130142,4.484616852,5.015102005,-2.42259388,6.224933243,-6.925772858,18.14894104,18.71983948,19.46958618,17.72943878,17.67714081,17.17783051,-6.361205292,-6.354662323,12.63588867,-14.13826141,-16.3352478,-8.207207489,-6.651409149,-6.093233109,-5.940909958,-15.3578186,-7.092887878,-15.90215302,12.072435,-12.71743851,-6.93836441,12.94063873,-15.40932159,-2.854097366,4.807220459,21.46306,8.693164825,-0.216911268,9.832502747,-14.66790314,-8.055482483,13.41956635,-16.95130005,-14.5611908,-6.28523407,-3.918465805,-6.452096558,-16.56608734,-6.956116486,-6.445528412,-7.052850342,-6.073025513,-5.386808777,9.994859314,12.41342926,-6.482830811,-7.057806396,15.28105011,10.89384995,-13.27086487,-15.00396881,-7.708460236,-6.491111755,-8.273523712,19.76281586,20.59220886,19.92282867,7.545947266,-14.53643646,-7.003572845,5.479483414,-16.2485199,19.06512299,19.12306366,7.354994965,-12.81243439,-4.85882225,19.44152069,4.961528397
"Y LM82 L Incisive foramen, anterior",1.529613495,0.852158737,2.702981758,-2.783589935,-0.453962517,-4.359433365,-1.28237772,-3.978250122,-3.540678024,1.33590889,-4.171988678,-0.837914562,-3.639807129,-3.928356934,2.908126259,1.797697067,1.06146841,0.757898378,-2.132351685,1.812903786,-1.590810013,-4.923986053,-4.393634033,-3.540272522,-4.023801804,1.585003662,-2.216150284,-5.068559647,1.397167873,1.103530502,-2.256566429,1.162317562,1.882591057,-4.617479706,-4.033702087,1.128184605,1.513397598,1.725124741,-2.598743057,0.571961975,-6.691748047,-4.567794037,-3.536672211,-2.955257988,-3.849917984,-4.156728363,-3.888122177,-1.297313976,0.271031404,-4.287374878,-5.537478638,-4.780228043,-0.829684925,0.67168417,-0.586670399,-0.647446966,-4.689334869,-0.159399247,-4.99509964,-5.747842026,-6.441768646,-3.198374367,-10.51872482,-4.159222794,-2.716150856,1.442791176,-3.313251495,-15.02745667,-11.12132721,-4.577688217,-5.879219437,-0.571068668,-6.852799988,-4.764066315,-4.84118042,-0.840427589,-1.161945534,-1.721429253,-8.304063416,-0.749028063,-0.138243306,-0.499976063,-1.705380058,-1.095207405,-5.085837936,-5.103411865,0.244624305,0.52048173,-16.9131012,-5.674627304,-7.111365509,-5.152564621,0.245147252,0.129223132,0.660309029,-3.422183228,-4.318125153,-5.018999481,-4.713220215,-11.02392883,-1.421480656,1.725551605,-5.311535645,-2.809369278,-4.042605209,1.572689247,-17.68290863,-15.45561981,-4.631906128,2.419586563
"Z LM82 L Incisive foramen, anterior",-29.08771057,-27.14634094,-30.5101593,-20.21595612,-25.02415009,-28.54332581,-23.99465637,-18.89692993,-19.38013916,-28.84692688,-18.35435638,-24.30670471,-19.71256561,-19.48299103,-30.03640747,-28.97030334,-27.5584137,-28.21592712,-22.38939972,-29.10712585,-24.30289154,-18.06837006,-20.50869904,-18.78071594,-19.22763214,-29.75447083,-22.77550201,-18.57856445,-28.74262085,-27.17383118,-21.24266357,-28.24142456,-29.18051147,-27.71008911,-18.3355545,-28.37714233,-29.34634705,-28.17496338,-21.43043518,-27.86271362,-25.97572327,-19.27752838,-20.34276123,-19.88190765,-20.11133118,-20.12441101,-20.83112335,-21.87917023,-23.20630341,-9.424777985,-9.845607758,-9.65178299,-21.09282532,-22.89626465,-22.83280487,-22.61863251,-10.44689331,-22.43422546,-11.47078857,-9.763916779,-8.977340698,-26.98955994,-6.196181107,-10.94377441,-22.37628784,-28.84765625,-21.05587311,-21.800737,-28.14849548,-10.45254211,-9.402066803,-21.27266541,-9.313040924,-10.83150482,-10.51761703,-21.56985168,-21.46442871,-22.47832336,-9.35721817,-23.39328613,-24.39889526,-23.21877136,-21.99273376,-23.55293274,-9.229742432,-8.946387482,-22.34248199,-22.14402008,-5.054787827,-11.49036407,-10.34862289,-9.850939941,-23.47339172,-23.18318176,-23.33503876,-20.34977875,-18.48343048,-18.51371918,-9.920444489,-11.48765793,-22.83838654,-27.92629395,-9.69909668,-20.87732697,-18.85484314,-28.20821533,5.915994263,4.57187767,-19.2952179,-29.88231812
"X LM81 R Incisive foramen, anterior",5.010155487,5.500138855,7.122351074,18.91031036,-5.940589905,-3.728515625,-4.410552216,19.61099701,19.30546265,6.665930176,20.20619202,-4.435045624,21.04299011,22.18939056,5.467118454,4.366936111,4.851588821,4.599322128,-3.825313568,5.756927109,-4.566870117,18.47668915,18.59759369,20.78815155,19.52930756,6.169454956,-3.57566185,19.2443924,5.453861618,5.759331512,20.61520996,4.265644073,5.627689362,-2.443473434,18.61274109,3.837069321,3.65978775,4.327635193,-3.28405304,5.442365265,-6.463967896,18.10682526,18.46552277,19.31767426,17.47077637,17.62146301,17.12430115,-6.931376648,-6.926415253,12.55703735,-13.98002167,-16.41630249,-8.792802429,-7.151841736,-6.59006958,-6.506468964,-15.30310974,-7.523855591,-15.83080597,12.04795303,-12.5834259,-6.433681488,13.41046448,-15.34200134,-3.772241974,3.84065361,21.23386536,8.963547516,-0.799743032,9.833437347,-14.55092926,-8.437254333,13.34575348,-16.86068115,-14.22943878,-6.766915894,-4.340100861,-6.927070618,-16.5249527,-7.526744843,-6.885388947,-7.690383911,-6.647317505,-6.004462814,9.915084839,12.31028519,-6.917253876,-7.558204651,14.41589355,10.5938942,-13.19374695,-14.94874725,-8.115336609,-7.028646851,-8.880741119,19.6486908,20.50834351,19.78698578,7.455176544,-14.33250122,-7.513113403,4.563889694,-16.22458801,18.64008789,18.89579773,6.420812225,-11.92646866,-3.94673996,19.56160278,4.126321411
"Y LM81 R Incisive foramen, anterior",1.514878654,0.790472889,2.554184341,-2.502624893,-0.481845856,-3.861271667,-1.365569305,-3.747339249,-3.030563927,1.506975174,-3.684795761,-0.920761108,-3.028502464,-3.516765594,2.749661446,1.699572372,0.923200893,0.713638067,-2.200601959,1.6572052,-1.625413704,-4.459564209,-4.004705048,-3.1697649,-3.554949188,1.499816799,-2.235392952,-4.603672791,1.314370155,1.08858881,-1.922451401,1.027380943,1.789014053,-3.962137604,-3.715860748,1.024727249,1.420159245,1.706372643,-2.580866623,0.549676466,-6.066444016,-4.01126709,-3.133563614,-2.466588974,-3.381522751,-3.646758652,-3.553978729,-1.686522865,-0.025188273,-3.706184006,-6.053405762,-5.097057724,-1.264819431,0.34235909,-0.850173569,-1.148093414,-5.218523026,-0.558876848,-5.437260818,-5.406740952,-6.770090485,-2.548159218,-10.17403412,-4.706213379,-2.824800491,1.397443867,-2.916363525,-14.54613953,-10.62856445,-4.120149231,-6.310553741,-0.993540382,-7.496464539,-5.251914215,-5.339923096,-1.179242992,-1.597590256,-2.250489044,-8.943845367,-0.85877285,-0.545373631,-0.874676418,-2.071503067,-1.591577244,-4.559009933,-4.750118256,-0.251854515,0.153876901,-17.55042877,-5.251777267,-7.54186554,-5.587225342,-0.17312665,-0.27948854,0.388017774,-2.836949539,-3.715320969,-4.417707825,-4.454588318,-9.856686401,-1.818191528,1.534721756,-5.74032402,-2.263275719,-3.517564774,1.537780094,-17.63995819,-15.63639984,-4.295856476,2.459205627
"Z LM81 R Incisive foramen, anterior",-29.03063965,-27.20016174,-30.39463806,-21.00200653,-24.96315613,-28.32483826,-23.99120483,-19.46798706,-19.66220856,-28.84205933,-19.00045013,-24.19344025,-20.53632965,-20.28731079,-29.92080688,-28.85963745,-27.34642029,-28.03614502,-22.46546936,-29.01785278,-24.12709351,-18.76186676,-21.17249451,-19.46860657,-19.76235199,-29.64748535,-22.79197845,-19.1156601,-28.66141357,-27.12035522,-21.9042572,-28.1684967,-29.04796143,-27.00825195,-19.10671692,-28.17981262,-29.2209198,-28.05261536,-21.42698822,-27.73422546,-25.65671997,-19.92725525,-21.09685974,-20.46872253,-20.81172333,-20.83068085,-21.41831055,-21.25335693,-22.64247437,-10.28241577,-9.193836212,-9.254392242,-20.55520325,-22.51386719,-22.42310638,-22.0830307,-9.741695404,-21.93740234,-10.74536743,-10.27600708,-8.309370422,-27.02327881,-6.775834656,-10.10842743,-22.36613464,-28.61147461,-21.68740997,-22.09210968,-27.82310486,-11.029879,-8.824004364,-20.78598175,-9.001082611,-10.28437424,-9.804111481,-21.08868256,-21.06339722,-22.44687042,-8.740888977,-22.67040863,-23.87838135,-22.72359467,-21.54940948,-23.00359344,-10.05077362,-9.402213287,-21.71486664,-21.72655334,-4.834315109,-12.30650177,-9.420071411,-9.194629669,-22.95740662,-22.74598694,-22.89088135,-21.10368805,-19.36750031,-19.43991852,-10.67298431,-11.82660522,-22.34731903,-27.74831848,-8.990416718,-21.94554749,-19.73327179,-28.18273926,5.891275406,4.590825272,-20.1344162,-29.78327637
"X LM79 R Incisive foramen, posterior",4.968893051,5.283063507,6.450434875,15.15298309,-6.412900543,-3.878739929,-5.000554657,16.61702728,16.35435181,6.359291458,15.76527252,-4.632620239,17.23177185,17.96343689,5.275180817,4.465608215,4.845996094,4.942069626,-4.369393158,5.618758392,-4.646725464,15.68453674,15.43253326,17.94597626,16.48236694,5.738134003,-3.816553497,15.32251129,5.066576004,5.483862305,15.80367584,4.400104141,5.883557892,-3.233888245,14.39446411,3.906788635,3.888855743,4.670673752,-3.909500504,5.625571442,-5.885723495,15.14127502,15.37852173,16.11754456,14.86611786,14.8305954,13.99910736,-4.870694733,-4.796329498,9.79888382,-11.37903137,-13.91917419,-6.296315002,-5.045435715,-5.007234955,-4.228150558,-10.19750748,-5.102915955,-12.75937729,9.176578522,-9.58568573,-4.746894836,11.52549057,-12.71633453,-3.998333359,4.224524689,16.09938507,4.488900375,-1.849139595,6.653424072,-11.62395782,-6.466033936,10.60173111,-14.28599091,-11.75923157,-4.922030258,-2.456375694,-5.850058365,-13.86985321,-5.411414719,-4.764807892,-5.354767609,-4.957445526,-4.122548676,7.014888763,9.592242432,-5.01075325,-6.080528641,11.98008499,7.705705261,-8.99781189,-12.76933823,-6.316051865,-5.105230713,-7.108592987,16.31403351,16.04077759,15.59290009,5.102092743,-10.88803329,-5.163214493,4.443870544,-13.30896454,14.94066772,14.42302551,5.886134338,-11.70455399,-3.136383629,16.47223206,4.053862762
