Species,Population,Collection,ID,Sex,Age,Location,Latitude,Longitude,Altitude,Collector,Date collected,Photos,Scanned,Cleaned,Landmarked,Species correction,Other notes
subtropicus,,QM,BSW14,Male,Adult,"Wratten's NP, SEQ 26�17'32""S 152�19'42""E",-26.292,152.328,530,T. Mutton,4/08/2014,ok,ok,ok,ok,,
subtropicus,,QM,CDT8,Male,Adult,"Conondale NP, SEQ 26�40'38""S 152�34'22""E, 726m el.",-26.677,152.573,706,T. Mutton,21/05/2014,ok,ok,ok,ok,,
stuartii,north,QM,CG1,Male,Adult,"Main Range NP office, Cunningham's Gap, SEQ, 28 03 44 S 152 22 02 E",-28.062,152.367,674,R. Hobson,8/05/2012,ok,ok,ok,ok,cautious,N19464.
stuartii,,CSIRO,CM10561,Male,Adult,Q: Atherton Tableland Severin State Forest,-17.2,145.6667,728,I. Mason + G. Richards,5/06/1981,ok,ok,ok,ok,adustus,rainforest
stuartii,,CSIRO,CM10562,Female,Adult,Q: Atherton Tableland Severin State Forest,-17.2,145.6667,728,I. Mason + G. Richards,1/01/1981,ok,ok,ok,ok,adustus,rainforest
stuartii,,CSIRO,CM10563,Male,Adult,Q: Atherton Tableland Severin State Forest,-17.2,145.6667,728,I. Mason + G. Richards,6/06/1981,ok,ok,ok,ok,adustus,rainforest
stuartii,,CSIRO,CM11764,Female,Adult,NSW: Manaro and South Coast district: 7.5 km North of Charleyong,,,,M. Jones,4/12/1975,ok,ok,ok,ok,,Banksia and eucalypt.
stuartii,south,CSIRO,CM12785,NA,Adult,NSW: Colo Vale,-34.4,150.4833,640,BSM.,NA,ok,ok,ok,ok,,
stuartii,south,CSIRO,CM12786,NA,Adult,NSW: Colo Vale,-34.4,150.4833,640,BSM.,NA,ok,ok,ok,ok,,
stuartii,south,CSIRO,CM15246,Male,Adult,Ryan's Swamp Jervis Bay N. SW.,-35.1667,150.6667,0,KB,21/03/1975,ok,ok,ok,ok,,Dwell Ti tree Bracker and grasses
stuartii,south,CSIRO,CM16483,Female,Adult,NSW. 4km. S. of Goulburn on Rd. to Braidwood,-34.7917,148.7,542,H. Gibson,16/04/1992,ok,ok,ok,ok,,
stuartii,south,CSIRO,CM16495,Male,Adult,"NSW: Golspie, NW of Crookwell",-34.3,149.6833,888,A. Gibson,1/01/1992,ok,ok,ok,ok,,Hab: Country town buildings
stuartii,south,CSIRO,CM21,Male,Adult,NSW: Colo Vale,-34.4,150.4833,640,B. J. Marlow,NA,ok,ok,ok,ok,,
stuartii,south,CSIRO,CM2748,Female,Adult,Salamander Bay Port Stephens NSW,-32.7333,152.0833,1,K. Keith,8/02/1968,ok,ok,ok,ok,,
stuartii,south,CSIRO,CM2794,Female,Adult,Port Stephens Dutchman's Bay NSW,-32.7,152.0833,0,K. Keith,12/02/1968,ok,ok,ok,ok,,
stuartii,south,CSIRO,CM2822,Male,Adult,Soldiers Point Rd. Salamander Bay Port Stephens NSW,-32.7333,152.0833,1,K. Keith,7/03/1968,ok,ok,ok,ok,,
stuartii,south,CSIRO,CM2980,Male,Adult,Salamander Bay Port Stephens NSW,-32.7333,152.0833,1,K. Keith,24/04/1969,ok,ok,ok,ok,,
stuartii,north,CSIRO,CM2988,Male,Adult,Mebbin State Forest Via Murwillumbah N.E. N.S.W.,-28.4667,153.1667,195,K. Keith,26/07/1969,ok,ok,ok,ok,,
stuartii,north,CSIRO,CM2991,Male,Adult,Mebbin State Forest Via Murwillumbah Top of Spur Forty Track N.E. N.S.W.,-28.4667,153.1667,195,K. Keith,27/07/1969,ok,ok,ok,ok,,
stuartii,south,CSIRO,CM3542,Male,Adult,"Currambene State Forest, 10 Km South of Nowra NSW",-34.9833,150.7333,20,I. Mason,28/02/1988,ok,ok,ok,ok,,
stuartii,south,CSIRO,CM3543,Female,Adult,"Currambene State Forest, 10 km S of Nowra NSW",-34.9833,150.7333,20,I. Mason,28/02/1988,ok,ok,ok,ok,,
stuartii,south,CSIRO,CM3642,NA,SubAdult,Georges River 3 miles S.S.E. Campbelltown NSW.,-34.1,150.8167,139,I. Mason,24/01/1970,ok,ok,ok,ok,,P3 partially erupted.
stuartii,south,CSIRO,CM3643,NA,SubAdult,Georges River 3 miles S.S.E. Campbelltown NSW.,-34.1,150.8167,139,I. Mason,24/01/1970,ok,ok,ok,ok,,P3 partially erupted.
stuartii,south,CSIRO,CM3644,NA,Juvenile? ,Georges River 3 miles S.S.E. Campbelltown NSW.,-34.1,150.8167,139,I. Mason,24/01/1970,ok,ok,ok,ok,,P3 not erupted.
stuartii,south,CSIRO,CM3651,Female,SubAdult,Tianjara Falls. Via Sassafras N.S.W.,-35.1167,150.3333,552,J. Wombey,7/02/1970,ok,ok,ok,ok,,P3 partially erupted.
stuartii,south,CSIRO,CM3652,Female,Adult,Tianjara Falls. Via Sassafras N.S.W.,-35.1167,150.3333,552,J. Wombey,7/02/1970,ok,ok,ok,ok,,
stuartii,south,CSIRO,CM3660,Female,SubAdult,Tianjara Falls. Via Sassafras N.S.W.,-35.1167,150.3333,552,J. Wombey,8/02/1970,ok,ok,ok,ok,,P3 partially erupted.
stuartii,south,CSIRO,CM3661,Male,Adult,Tianjara Falls. Via Sassafras N.S.W.,-35.1167,150.3333,552,J. Wombey,8/02/1970,ok,ok,ok,ok,,
stuartii,south,CSIRO,CM3662,Female,Adult,Tianjara Falls. Via Sassafras N.S.W.,-35.1167,150.3333,552,J. Wombey,8/02/1970,ok,ok,ok,ok,,
stuartii,south,CSIRO,CM3663,Female,Adult,Tianjara Falls. Via Sassafras N.S.W.,-35.1167,150.3333,552,J. Wombey,8/02/1970,ok,ok,ok,ok,,
stuartii,north,CSIRO,CM3713,Male,Adult,Mebbin State Forest Via Murwillumbah N.E. N.S.W.,-28.4667,153.1667,195,K. Keith,8/03/1970,ok,ok,ok,ok,,
stuartii,?,CSIRO,CM3792,Female,Juvenile? ,Redlands via Ebor N.S.W.,-30.3667,152.45,1275,K. Keith,20/01/1971,ok,ok,ok,ok,,Wet sclerophyll. P3 not erupted.
stuartii,?,CSIRO,CM3793,Male,Juvenile? ,"Redlands' Via Ebor, NSW",-30.3667,152.45,1275,K. Keith,20/01/1971,ok,ok,ok,ok,,Wet sclerophyll. P3 not erupted.
stuartii,?,CSIRO,CM3795,Male,SubAdult,"Redlands' via Ebor, NSW",-30.3667,152.45,1275,K. Keith,21/01/1971,ok,ok,ok,ok,,Wet sclerophyll. P3 not fully erupted.
stuartii,north,CSIRO,CM380,Female,Adult,Grady's Creek. The Risk. North NSW.,-28.3667,153,537,Jac. Dimi.,8/11/1961,ok,ok,ok,not suitable,,
stuartii,,CSIRO,CM3877,Female,Adult,Tryabb. Mornington Pen VIC.,,,,K. Keith,25/04/1972,ok,ok,ok,ok,,Was determined as A. agilis.
stuartii,south,CSIRO,CM6510,Female,Adult,Wog Wog Rd. Yadborough River N.S.W.,-35.3333,150.0667,680,J.G.W. - M.S.J. MGB / M. Jones M. Brooker,30/04/1974,ok,ok,not suitable,not suitable,,Bracken and Eucalipts
stuartii,south,CSIRO,CM6523,Female,Adult,N.E. Corner Army Sir strip Mt Tianjarra N.S.W.,-35.1167,150.35,482,M. Brooker,5/06/1974,ok,ok,ok,ok,,Tall eucalypts + 5' tall thick shrub
stuartii,south,CSIRO,CM6539,Female,Adult,Top of escarpment Mt Tianjara N.S.W.,-35.1833,150.3,643,M. Brooker,18/07/1974,ok,ok,ok,ok,,Among rocks.
stuartii,south,CSIRO,CM6540,Male,Adult,East side cliffs Mt. Tianjara N.S.W.,-35.1833,150.3,643,J. Waterhouse,18/07/1974,ok,ok,ok,ok,,Logged rainforest.
stuartii,south,CSIRO,CM6541,Female,Adult,Top of escarpment West side Mt Tianjara N.S.W.,-35.1833,150.3,643,M. Brooker,17/07/1974,ok,ok,ok,ok,,Among rocks.
stuartii,south,CSIRO,CM6565,Female,Juvenile? ,Land use research site 691 Intersection of caves Rd. and Tumblbar Rd Brooman N.S.W.,-35.45,150.2667,102,J. Waterhouse / M. Jones,15/11/1974,ok,ok,ok,ok,,P3 not fully erupted.
stuartii,,CSIRO,CM674,Male,SubAdult,Mount Glorious S.E Qld,-27.3333,152.7667,572,R. Rick,1/03/1964,ok,ok,ok,ok,exclude?,P3 partially erupted.
stuartii,,CSIRO,CM675,Female,SubAdult,Mount Glorious S.E Qld,-27.3333,152.7667,572,R. Rick,1/03/1964,ok,ok,ok,ok,exclude?,P3 partially erupted.
stuartii,south,CSIRO,CM860,Male,Adult,Vines Scrub via Sassafras N.S.W.,-35.2,150.2167,719,K. Keith,26/02/1964,ok,ok,ok,ok,,
stuartii,south,CSIRO,CM861,Male,Adult,Vines Scrub via Sassafras N.S.W.,-35.2,150.2167,719,K. Keith,26/02/1965,ok,ok,ok,ok,,
stuartii,south,CSIRO,CM862,Female,SubAdult,Vines Scrub via Sassafras N.S.W.,-35.2,150.2167,719,K. Keith,26/02/1965,ok,ok,ok,ok,,P3 partially erupted.
stuartii,south,CSIRO,CM933,Female,SubAdult,Barren Grounds N.S.W.,-34.6833,150.7333,595,G. Goodrich,15/02/1966,ok,ok,ok,ok,,P3 partially erupted.
stuartii,south,CSIRO,CM952,Female,Adult,"Caudeaux River, Via Mount Kiera (Kembla) NSW",-34.4667,150.7833,32,K. Keith,19/06/1966,ok,ok,ok,ok,,
