ID,BSW14,CDT8,CG1,CM10561,CM10562,CM10563,CM11764,CM12785,CM12786,CM15246,CM16483,CM16495,CM21,CM2748,CM2794,CM2822,CM2980,CM2988,CM2991,CM3542,CM3543,CM3642,CM3643,CM3644,CM3651,CM3652,CM3660,CM3661,CM3662,CM3663,CM3713,CM3792,CM3793,CM3795,CM3877,CM6523,CM6539,CM6540,CM6541,CM6565,CM674,CM675,CM860,CM861,CM862,CM933,CM952,CM966,CM967,EA2,G13,G23,G27,G34,G41,J10471,J11098,J11443,J13235,J13244,J15870,J15888,J16158,J16458,J16535,J16543,J17400,J17401,J17402,J17403,J17406,J17407,J17410,J20265,J3716,J3810,J5030,J7727,JM100,JM108,JM11445,JM134,JM1420,JM14415,JM14417,JM14447,JM14448,JM14452,JM145,JM146,JM149,JM15025,JM15026,JM151,JM152,JM153,JM154,JM15445,JM155,JM156,JM157,JM158,JM1596,JM1597,JM1598,JM1600,JM1601,JM163,JM165,JM166,JM167,JM168,JM170,JM18590,JM187,JM188,JM1912,JM1913,JM19746,JM19749,JM19750,JM19751,JM19756,JM19758,JM200,JM205,JM20761,JM210,JM21268,JM21269,JM21271,JM213,JM21357,JM21530,JM21536,JM2205,JM24,JM2935,JM37,JM3944,JM4432,JM47,JM86,JM88,JM89,JM91,JM92,JM93,JM95,JM96,JM97,JM99
"X LM1 Nasal, anterior, midline",19.55730896,20.23421478,19.22274323,-8.177013397,-6.509944153,-7.174832916,-14.51927185,-12.58999405,10.75432205,14.20644226,7.547142029,-7.302412415,-6.314770508,12.23707733,9.687068939,-5.219398499,-6.081777573,-7.219895172,-6.37095871,-7.39708786,-16.35022583,-5.720514297,-3.882388306,-6.281414032,-13.89947662,-16.12411346,12.17973938,-7.920440674,-14.57185822,9.86126709,-6.861943054,-14.86102142,12.89678802,-7.710980988,-12.54652557,11.54070587,-15.62993011,-6.709677124,-15.84438477,-13.91877289,-5.804579544,-5.77382431,-6.19853096,-7.912156677,-15.80597534,-13.9062088,12.67303009,-6.462109375,-6.383961868,16.31759949,17.137883,17.46463623,19.1982193,18.09297333,17.80348816,-8.638469696,5.917212296,-2.683507919,-2.393421555,4.837440109,4.369117737,4.252604294,17.78948517,-4.890052414,6.327310944,4.806169128,19.67531128,6.31593895,18.89549561,5.754987335,18.64728851,8.028836823,-2.605948067,6.770370483,19.10202789,20.29390869,17.4434433,18.65547943,-3.877384567,6.272115326,-3.312128448,5.120095444,5.251729965,4.884194183,5.961242294,20.08361511,21.26462097,20.67380829,-3.865174866,19.41970367,7.321130371,18.76227722,19.36633301,-3.803159714,-5.950940704,4.383302307,-5.619107819,18.02148285,7.589308929,5.820623779,5.464258957,3.914788818,4.957697678,14.91499939,-17.52850342,-3.18415451,20.07927246,-3.779166794,4.579071426,6.579370117,6.179381561,5.02112236,5.260972977,19.29736176,8.625901794,-13.88058014,5.964714813,-5.927018356,21.78370056,17.77120667,16.68425293,-9.62197876,18.09787598,19.01423187,5.169718933,4.934876251,16.8175705,6.329080582,18.98750458,18.99662018,19.38971405,4.690323639,18.96964417,17.74610596,18.02801361,18.66677856,-3.82118721,-15.18418884,-7.024253082,20.76208801,17.25112915,5.834934235,5.896654892,-7.138479614,-3.719008255,6.868038177,4.962842941,5.520635986,7.270077515,3.823832703,5.619784927,18.78752899
"Y LM1 Nasal, anterior, midline",-7.195840454,-6.427871704,-5.382444763,-1.954494667,-2.210967255,-2.587197495,-7.502623749,-9.573978424,-7.868498993,-15.31279755,-6.679601288,-1.510591602,-2.270962143,-7.108032227,-6.93184967,-3.97101593,-4.522877884,-3.137356186,-2.736104965,-3.085638618,-10.31559525,-3.168509293,-3.297718811,-2.835640526,-7.025222778,-7.146112061,-6.345409393,-2.714376068,-7.839746857,-6.37873497,-4.141535568,-6.619245148,-12.54746628,-2.2909132,-8.671211243,-7.851739502,-7.297416687,-2.85471096,-7.778468323,-7.576483154,-3.12812748,-3.157917786,-1.918224907,-3.085515404,-6.713153839,-7.567990112,-6.23045578,-2.131382751,-3.573151016,-5.864587784,-6.035937119,-5.740396881,-4.809732819,-5.454043198,-6.287827301,-5.440620041,-1.417138863,-5.348738098,-13.32293243,-0.755015278,-1.390616703,-0.753741169,-6.693441772,-2.482648849,-1.316221428,-1.729512405,-4.9318367,-1.474224567,-5.962668228,-1.300692368,-7.058786011,-16.58137054,-4.993241119,-1.307791042,-5.940875244,-5.645895386,-6.41889267,-7.0349617,-4.379959106,-1.68110714,-5.011006546,-1.846935081,-1.660647774,-1.519433212,-0.416364336,-6.070758438,-6.498381042,-5.868793869,-3.466580582,-6.123853683,-1.564560223,-4.550624847,-5.91128006,-4.857688904,-3.096536064,-1.31470747,-2.981084251,-5.429846191,0.05616765,-1.686616516,-1.367541409,-1.470896912,-1.430252457,-10.21965256,-10.19522629,-5.660907364,-5.619043732,-19.2306488,-1.275652313,-0.904503155,-0.591543961,-1.875978661,-1.522986603,-7.050090027,-1.494759083,-9.863905334,-1.391115952,-4.635232925,-8.55460434,-6.487083435,-4.698949432,-12.0877388,-6.272640228,-5.290086746,-2.458922005,-1.038540936,-6.0207798,-1.448441982,-7.639698792,-5.748550034,-5.741674423,-0.53456912,-6.307631302,-6.429042816,-6.143317795,-5.188136292,-4.42495079,-7.867767334,-4.050492477,-6.217338562,-6.334770584,-1.112697601,-1.387343693,-17.42876587,-3.545133591,-1.503159904,-2.12935009,-2.128257561,-1.535646343,-0.81234169,-1.43710289,-6.422055054
"Z LM1 Nasal, anterior, midline",-20.42019653,-20.44943848,-22.08559875,-24.32722015,-24.20248108,-24.52278748,-10.81201248,-10.77527313,-13.18227386,-3.053371239,-11.31338654,-23.24434814,-23.40621033,-10.43287811,-11.1771347,-24.47498016,-22.9866394,-24.33963928,-25.50809479,-23.74081421,-11.0130722,-24.12341309,-22.42409058,-22.45164032,-11.60803909,-12.06976471,-7.369729614,-22.34249878,-10.48939819,-12.17507095,-23.69479828,-11.81479721,-8.121516418,-24.47312775,-9.778170013,-11.33517685,-12.60773087,-23.78261566,-10.89576721,-11.97780228,-23.6195343,-23.56477509,-23.76251221,-21.86167603,-10.74957809,-10.85680008,-11.2978508,-24.22621002,-22.87211761,-22.43894348,-21.75552673,-21.55936737,-21.38001862,-22.0043045,-20.84511414,-24.07990112,-28.76671753,-22.31940155,-28.52793579,-28.87088318,-30.06292725,-29.06276245,-20.19455872,-26.30990906,-29.70783386,-28.95298462,-23.16872559,-28.2244812,-20.81082001,-29.21673584,-20.19423065,-23.9407959,-23.37143555,-30.43937988,-20.92937927,-20.62250671,-21.98567963,-19.93394623,-25.06956482,-29.8333374,-23.36213379,-28.63229675,-28.01860962,-29.53295898,-31.04139709,-23.01559753,-21.37870178,-21.44452057,-25.2349762,-20.10952759,-29.426297,-21.64388275,-20.50531921,-24.07681122,-26.21718445,-29.59962158,-25.73563538,-22.1006897,-31.28110046,-28.34271851,-29.66936646,-28.31040344,-30.3356842,-10.86685638,-10.43118439,-22.95523987,-20.89307098,2.345177269,-30.64022827,-29.71713562,-29.96882019,-29.34373169,-29.55523071,-19.8740387,-28.45483093,-9.265505219,-29.96797791,-24.65396271,-21.00750885,-22.28412933,-19.24634857,-8.469670105,-22.12528381,-21.93312988,-27.32310486,-28.90627136,-21.99278717,-28.78870239,-21.01000366,-21.89755707,-21.90628967,-30.57550049,-20.06402435,-26.99014893,-20.36304932,-22.94113922,-23.75439606,-12.66734924,-23.45650482,-21.31306152,-20.02158966,-29.19898376,-28.2128479,-4.357463074,-25.75493164,-28.86541138,-29.1143158,-29.50726624,-28.91521301,-30.31502075,-30.22062378,-21.21335297
"X LM2 Nasal-frontal suture, midline",8.113717651,10.10976105,10.77857437,-1.250058651,-0.242188907,-0.38589797,-6.585412598,-4.260708618,1.685788155,6.734171295,-0.601453352,-1.154608822,0.696741676,3.932988739,1.800760269,1.346782875,0.234851241,0.359071326,1.261170769,0.142198873,-5.785910034,-1.117660618,2.55974102,0.152900827,-5.341578293,-6.625305939,2.211403275,0.2430722,-4.825566101,-0.280571556,0.706629181,-6.645837402,7.034124756,-3.197809601,-4.23406601,3.483876038,-5.789261627,1.400390911,-6.51427536,-4.809553146,0.264407325,-0.286047125,0.712407684,-0.351159716,-8.394446564,-4.989881516,2.824305153,0.085606861,-0.363378787,7.437998199,8.000744629,8.560604858,10.14718246,8.700099182,9.001742554,-8.925047302,7.584485626,-2.88617878,-4.430517197,6.003495026,5.853393936,5.336205673,8.899183655,-7.435388184,7.79511795,6.257094193,10.49566116,6.815189362,9.506301117,6.265074539,8.688490295,-2.066049194,-2.225338745,7.248748779,9.529317474,10.57409363,8.372233582,9.496857452,-3.098457718,7.273472595,-3.154289055,6.447749329,6.416172791,6.211307526,6.724966431,8.717172241,11.72910843,11.60919876,-3.610582733,10.12078247,7.727966309,10.11332779,10.45499039,-3.621657562,-7.380043793,5.364056396,-5.94780159,10.30593796,7.425695038,6.752055359,6.411473083,5.894657516,5.942884827,4.765664291,-6.394405746,-3.389343643,9.150732422,-4.686372757,5.554715347,6.857514191,6.986122131,5.423309326,6.827713013,9.312254333,8.567423248,-3.392036438,6.528124237,-5.432093811,10.46108017,8.265711212,8.560396576,1.031874084,8.606693268,10.74392929,5.690347672,5.873854065,7.113759613,7.323517609,8.713955688,8.438412476,10.2539772,6.087482834,9.807293701,8.363471222,9.20245285,9.82781601,-4.553591156,-6.032305908,-8.142829895,10.75353546,8.718911743,6.399907303,6.853518677,-7.105763245,-2.957374191,7.094928741,5.633184814,6.580288696,8.109570313,4.632033157,6.757891846,10.04120483
"Y LM2 Nasal-frontal suture, midline",-9.369035339,-9.039148712,-7.854516602,-8.353694916,-7.802580261,-8.054220581,-9.211346436,-11.11628876,-10.48157959,-8.887324524,-8.791849518,-7.08604126,-8.509689331,-9.45334549,-9.303118896,-9.860803223,-10.03383713,-9.73093338,-8.769480896,-9.281169891,-10.25109787,-9.208596802,-9.222660828,-8.374145508,-9.214865875,-9.708354187,-6.757191467,-9.244739532,-9.852503204,-9.165713501,-9.978335571,-8.387082672,-11.38529816,-6.540570831,-10.21681671,-9.24054184,-8.828222656,-9.195568085,-9.780924988,-9.292281342,-8.889930725,-8.349447632,-8.047462463,-8.753022003,-8.366811371,-9.45211792,-9.551842499,-8.530617523,-8.969872284,-7.439946747,-8.164982605,-8.161633301,-7.88391037,-8.218567657,-8.580644989,-8.837524414,-8.565617371,-11.97480011,-18.92998047,-6.964531708,-9.163586426,-7.569764709,-9.208948517,-7.061877441,-7.643357086,-9.185767365,-8.449320984,-8.396914673,-8.732978821,-7.885173035,-9.202976227,-16.97580719,-11.13771362,-8.735838318,-8.097054291,-8.268099976,-8.864472198,-9.110301971,-11.32117844,-9.168630219,-11.42942963,-8.778324127,-8.49175415,-8.206071472,-7.777386475,-9.673060608,-9.352877045,-8.929785156,-10.93997879,-9.038515472,-8.07432251,-6.2484478,-8.391662598,-11.09055023,-6.438648224,-8.134815216,-10.07523575,-8.179407501,-7.451239777,-8.579450226,-8.595558929,-8.285366821,-8.259368896,-10.23210602,-10.12554779,-12.12548981,-8.704406738,-16.74631958,-8.297633362,-8.322712708,-8.021114349,-8.506902313,-7.98702774,-9.330450439,-8.218626404,-9.539352417,-8.986065674,-11.07075729,-11.25257111,-9.090026855,-8.560607147,-11.80027313,-8.848226929,-7.874686432,-8.696560669,-8.434687042,-8.807584381,-8.102751923,-9.870067596,-8.872297668,-7.960372162,-7.96656189,-8.430473328,-9.777256775,-9.059176636,-8.096440887,-11.64855728,-8.766998291,-7.544278717,-8.981729889,-8.934481812,-8.152268219,-8.221400452,-14.42861633,-10.73887482,-8.517225647,-9.332841492,-8.911460876,-8.470152283,-7.926477051,-8.250582886,-9.195909119
"Z LM2 Nasal-frontal suture, midline",-21.59832764,-22.01616364,-22.33544312,-19.975177,-20.09286652,-20.3991745,-12.37911224,-12.30475082,-13.1492218,-8.40966568,-12.99392242,-20.10602264,-19.00479431,-12.16553116,-12.26013489,-19.98912659,-18.9246048,-19.3941391,-20.98550568,-18.59048462,-13.44516144,-19.44499207,-18.07266235,-18.75284882,-12.70042648,-13.08893585,-8.468367004,-18.63049011,-12.32185745,-13.78240509,-19.27840881,-13.25931091,-14.28283691,-16.37142181,-12.25282593,-12.55497208,-13.78552399,-19.02422638,-11.84597473,-13.52308502,-19.61645813,-19.92449646,-19.67071381,-18.54564362,-12.34336395,-12.51941299,-13.06233368,-20.3801651,-19.10753479,-22.87625275,-22.24203796,-21.77546844,-21.93209534,-22.16260529,-21.37597351,-16.13154602,-21.7337326,-15.85510101,-21.32736511,-23.20644836,-22.40214691,-22.66824646,-21.33673553,-16.64639893,-23.33428802,-21.73985596,-22.3344696,-21.66666412,-21.00244751,-22.39616852,-20.57351685,-26.74441833,-16.83779144,-23.05048218,-22.43942871,-22.43141479,-21.62785797,-20.81418457,-18.02551422,-22.00808105,-16.65615845,-21.95709229,-21.62606506,-23.00367432,-24.08588562,-22.35591583,-21.62444153,-21.59957123,-18.07984467,-21.36995392,-23.25839844,-23.48731232,-21.65489349,-18.03552246,-18.68255005,-23.39756012,-19.34368744,-21.98945007,-24.21511688,-21.83430786,-22.63879852,-22.18288574,-23.09598236,-9.471228027,-8.447410583,-15.84158478,-22.05725708,-7.820547485,-23.62449188,-22.83879395,-23.06158447,-22.24094391,-22.97189178,-20.88519287,-21.89763184,-8.140631866,-22.437146,-17.56243896,-23.62302856,-21.93102264,-17.93804474,-8.236899567,-21.99876862,-21.64540558,-21.22346191,-22.32651672,-21.26791534,-22.5001236,-21.41346436,-22.12428131,-22.15253143,-23.77682343,-21.45681458,-26.11549377,-20.53221436,-22.27181702,-18.02419434,-10.82628021,-16.27331085,-21.73065948,-20.71540222,-22.63446655,-22.1285675,-13.29204254,-18.63634186,-22.69849243,-21.84716797,-22.73539734,-22.33494415,-23.78608704,-23.10625916,-21.16180267
"X LM3 frontal-parietal suture, midline",-1.227002239,1.552332687,1.54618187,6.058965302,5.732963943,5.510119247,2.268437386,4.82513237,-7.065860748,-0.147930562,-8.943083191,5.985396194,6.774977112,-4.75293808,-7.690995026,7.34058609,6.126610947,7.131197357,7.219042969,6.718437195,3.568963623,2.600873566,8.222098541,6.124703598,2.91724968,2.635660744,-6.752029419,6.509844208,4.184916687,-9.442707825,7.629727173,1.408321857,0.376674485,1.354664993,4.349560165,-5.646874237,3.418545532,7.403334808,1.999697113,3.629487228,6.675654602,6.153821564,7.508778381,6.37196579,0.78601017,3.549224854,-5.643148422,6.074090195,5.356208801,-1.398083973,-1.07413559,0.798817301,-0.119718862,0.020143311,0.389921689,-9.05581131,8.811523438,-3.233863449,-6.266537857,7.503307343,7.201574707,6.367235565,-1.871698189,-9.645760345,9.311859131,7.251472473,1.150339985,7.173153687,-0.179983008,6.757678223,-1.151858711,-12.25505676,-2.156693077,7.870072174,0.933763409,0.91744833,-0.65695343,0.455785131,-2.467438507,8.459375763,-3.185632324,7.61966095,7.550836945,7.424488831,7.689994812,-1.620443916,1.593373013,1.799097061,-3.333382034,-0.017908195,8.322451782,-0.011015676,1.657652855,-3.470175934,-8.842210388,6.623357391,-5.940237808,1.037177181,7.184753418,7.467315674,7.17990036,8.039072418,6.593940735,-4.928272247,3.425230789,-3.507216263,0.477053928,-5.195239639,6.524850464,7.269668579,7.879321289,5.441176224,8.185264587,0.805821991,8.326998138,6.017668152,7.034925079,-4.607263184,0.832179356,-2.233450699,-0.82970829,10.57227554,-0.716870737,1.478743744,6.20654068,6.874061584,-0.945562935,8.29050827,-1.424053764,-1.476995277,1.498362255,7.657598877,1.428093719,-0.031885824,0.627144003,0.790368176,-4.840567017,2.824987793,-8.733958435,1.238526154,0.304869676,7.222502136,7.627703857,-6.950683594,-2.605657959,7.288546753,6.402119446,7.652441406,8.875395203,5.428649521,7.940708923,0.452754974
"Y LM3 frontal-parietal suture, midline",-10.73986511,-10.85674896,-10.25303955,-14.42260895,-12.71776657,-12.80654297,-10.45975113,-11.7586647,-12.52608719,-3.861366272,-10.2222847,-12.65907135,-13.53204193,-11.75379486,-11.96960907,-15.02744751,-15.11582794,-14.85041199,-13.04268341,-14.06417847,-9.628086853,-14.27861328,-14.506427,-13.19359436,-10.80303955,-11.40413513,-7.486669922,-13.83062897,-11.16516342,-11.2367981,-14.84747925,-9.850518036,-9.796443176,-10.47716217,-11.28652496,-10.93028488,-10.34921112,-14.02794189,-11.59135284,-11.2499649,-14.38738251,-13.72605286,-13.87936401,-13.15618591,-10.28437576,-10.88723221,-11.53842316,-13.81171417,-14.27371368,-9.266545868,-10.28092957,-10.35599442,-10.57322922,-10.39595261,-10.78843384,-12.78543854,-14.17227783,-17.80849304,-24.62532349,-14.0078186,-15.44416962,-14.07324524,-11.7407959,-11.37920532,-14.80814972,-14.97676239,-11.56262817,-15.01351013,-11.15909653,-14.102742,-10.77106247,-16.69967957,-18.01787109,-15.65686188,-9.711965179,-9.638520813,-10.96534348,-10.68529358,-17.90915527,-16.25072327,-17.97639313,-15.09911652,-14.98102417,-15.1590744,-15.38879089,-12.17772293,-11.5138916,-11.34194107,-17.58681641,-11.1694931,-15.63518982,-7.723876953,-10.18926697,-18.20674438,-11.61449814,-15.21016388,-16.95899811,-10.96635437,-14.32074127,-15.21734772,-14.92390137,-14.58441772,-14.40795746,-10.38173981,-10.04131927,-18.9329834,-10.28406067,-13.86748047,-15.02890472,-15.26772156,-14.46368866,-14.72197571,-14.63027191,-10.98184814,-14.84632721,-9.861631012,-15.55618439,-17.2231308,-12.60298767,-11.31235809,-12.58573456,-11.95327072,-11.07755814,-10.8113266,-16.01509857,-15.38366089,-11.39913788,-15.3747757,-11.64837875,-11.01885986,-10.13225327,-14.87264099,-10.13418121,-12.63781433,-11.5505394,-11.17052078,-18.08644257,-9.61830368,-13.00687714,-11.13540497,-11.14955673,-14.81859131,-15.57119293,-10.67745514,-18.02814789,-15.38299713,-15.81155701,-16.49260254,-15.12615967,-14.87775269,-14.76246948,-12.06642685
"Z LM3 frontal-parietal suture, midline",-22.36858826,-22.93968964,-22.37630157,-15.02018738,-15.89233704,-16.17378387,-13.95775757,-13.51309967,-12.88348389,-14.23944092,-14.17872772,-15.62317505,-15.43506165,-13.66498566,-13.09359436,-15.13443756,-14.48851166,-14.50787506,-17.34284821,-14.17829132,-15.22378387,-15.20137482,-14.2049942,-15.00635986,-13.13992157,-13.45301819,-10.03805542,-15.37470856,-13.52769623,-14.73884277,-14.90390472,-14.63954163,-21.29824524,-9.469523621,-14.63374634,-13.79165039,-14.83214874,-15.18375092,-12.5506691,-15.07535706,-15.03453827,-15.47344208,-15.21657867,-15.13671722,-14.19167175,-14.12481384,-13.9121994,-16.35829926,-15.09823761,-23.15966187,-22.53985138,-21.93281097,-22.16873322,-22.13191681,-21.8998764,-6.772124481,-15.34573517,-9.702095795,-13.95375519,-16.23111877,-14.78952484,-16.5667572,-22.42565002,-8.116087341,-15.59443054,-15.40468445,-21.34715118,-14.85861664,-20.87688904,-15.54747162,-20.82978058,-29.03673706,-8.9359375,-14.85893097,-23.57948761,-23.43912659,-21.1812912,-21.30852203,-10.26506577,-13.42430267,-9.548930359,-15.08218994,-14.50481415,-15.81839294,-15.40944519,-21.212117,-21.78564148,-21.45073242,-10.74504776,-22.16721954,-15.53310852,-24.99215698,-22.46551819,-9.438299561,-8.218904114,-15.31184845,-12.38203125,-21.53444977,-16.82457886,-14.83739166,-15.56745605,-14.94537506,-16.40543213,-8.626364136,-7.251087952,-7.741384888,-22.76534576,-17.13102722,-15.61490326,-15.59272919,-16.36969452,-15.02363281,-16.13998108,-21.63358612,-15.15290222,-7.646208954,-14.92624969,-10.31543655,-25.5804306,-21.22197418,-16.9858078,-7.867140198,-21.81099396,-21.51855164,-13.25743103,-15.91298828,-20.90199738,-14.84897766,-21.74459381,-21.79177399,-22.39205627,-16.37066956,-22.65328674,-25.24764557,-20.54563293,-21.60868378,-11.1364563,-9.962084961,-6.311246872,-22.10307159,-21.20562744,-15.26123199,-14.92752533,-22.48664551,-10.4799614,-15.20034943,-14.06531525,-13.46125183,-14.95549164,-16.32403259,-15.52471008,-21.0105423
"X LM4 External occipital protuberance, nuchal crest, midline",-7.725675201,-5.442145538,-4.860496521,9.656258392,10.05993271,10.23087387,8.137611389,10.04062653,-13.19797974,-3.78109169,-14.80351563,10.67132416,10.9720314,-11.18505478,-13.32252197,11.32913437,10.00632477,11.03746109,12.05441132,11.76016235,9.296386719,4.447359848,11.78663864,10.10006561,8.956970215,8.352025604,-11.67483826,11.04609604,9.870053101,-15.78035126,13.01866302,7.153725433,-3.551585388,5.324700546,9.588233948,-11.52563858,8.734576416,11.82619171,8.357498932,9.981052399,11.01382828,9.857848358,11.12142105,10.72576523,6.012665939,9.584968567,-11.49991837,9.7617836,9.734533691,-7.767922211,-7.231931305,-5.773417282,-5.899640274,-6.290213776,-5.658802414,-7.557108307,9.622823334,-3.680621338,-6.319652176,8.288231659,8.344689178,7.020465088,-6.646518707,-9.74620285,9.998456573,7.994837189,-5.249272919,7.544007874,-6.669809723,6.934685516,-7.329621887,-18.17647552,-2.43874588,8.258424377,-6.764545441,-5.583077621,-6.132446671,-6.058482361,-2.307777405,8.984459686,-3.303901672,8.435048676,8.251483154,8.432372284,7.903812408,-8.291806793,-4.068514252,-4.702882004,-3.150753593,-7.150189972,8.518908691,-4.715259552,-5.056118393,-3.3368927,-8.369629669,7.442139435,-6.006602478,-5.014821625,6.899707794,7.906928253,7.627915192,9.339807129,7.305522919,-11.38047485,10.72217331,-3.860628891,-5.155532837,-5.603766632,7.162026215,7.624320221,8.514562225,5.665139008,9.200662231,-5.734622574,8.267328644,12.08976364,7.226501465,-4.102447128,-5.365852356,-8.978465271,-6.675856781,16.1210144,-7.376317596,-4.828435135,6.604114532,7.463648987,-6.409687805,9.010397339,-7.556890869,-7.985038757,-3.98475647,8.61971283,-4.118027115,-5.771279144,-5.456829453,-5.070099258,-5.309739304,8.309144592,-7.935150909,-5.3405159,-6.183886719,7.716269684,8.086265564,-6.591881561,-2.33604393,7.363023376,6.696669006,8.082433319,9.100875092,5.935091782,8.72633667,-5.314979935
